                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8156,                 3.0389,                 1.9127,                0.12191,                0.09815,                0.05572,                0.02845,                 1.8548,                 2.9372,                 1.8959,               0.070016,              0.0033315,              0.0033315
                      2,                 1.7207,                 2.8167,                 1.8555,                0.16263,                0.15748,                 0.0877,                0.04533,                 1.7703,                 2.7275,                 1.7986,               0.039357,               0.006005,               0.006005
                      3,                 1.6208,                 2.6241,                 1.7645,                0.18688,                0.17049,                0.11932,                0.06973,                 1.6879,                 2.4793,                 1.7121,              0.0080367,              0.0080185,              0.0080185
                      4,                 1.5239,                 2.5018,                 1.7002,                0.22649,                0.22042,                 0.1575,                0.09279,                 1.5486,                  2.238,                 1.6008,                0.00703,                0.00703,                0.00703
                      5,                 1.4966,                 2.4371,                  1.676,                0.20151,                0.21295,                0.14205,                0.08563,                 1.5102,                  2.214,                 1.5582,                0.00703,                0.00703,                0.00703
                      6,                 1.4363,                 2.3296,                  1.622,                0.24496,                0.23012,                0.17067,                0.09733,                 1.5247,                  2.213,                 1.5696,                0.00604,                0.00604,                0.00604
                      7,                 1.3903,                 2.2387,                  1.595,                0.26522,                0.23114,                0.17606,                0.10851,                 1.4861,                 2.1708,                 1.5664,                0.00505,                0.00505,                0.00505
                      8,                 1.3575,                 2.1843,                 1.5697,                 0.2452,                0.21874,                0.18816,                0.11734,                 1.4467,                 2.0794,                 1.5147,                0.00406,                0.00406,                0.00406
                      9,                 1.3284,                 2.0965,                 1.5402,                0.28227,                0.23786,                0.19908,                0.12738,                 1.4029,                 2.0416,                 1.4741,                0.00307,                0.00307,                0.00307
                     10,                 1.2984,                  2.034,                 1.5192,                0.28852,                0.25002,                0.20923,                0.13172,                 1.3661,                 1.9657,                 1.4589,                0.00208,                0.00208,                0.00208
